"id","cell"
"ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848","7316_158_S"
"ENSG00000239672","7316_158_S"
"ENSG00000179163","7316_158_S"
"ENSG00000174669","7316_158_S"
"ENSG00000166228","7316_158_S"
"ENSG00000228716","7316_158_S"
"ENSG00000160752","7316_158_S"
"ENSG00000062822 and ENSG00000077514 and ENSG00000106628 and ENSG00000175482","7316_158_S"
"ENSG00000165282","7316_158_S"
"ENSG00000155287","7316_158_S"
"ENSG00000164068","7316_158_S"
"ENSG00000173540","7316_158_S"
"ENSG00000198380","7316_158_S"
"ENSG00000154330","7316_158_S"
"ENSG00000117450","7316_158_S"
"ENSG00000162694","7316_158_S"
"ENSG00000197601","7316_158_S"
"ENSG00000139514","7316_158_S"
"ENSG00000136381","7316_158_S"
"ENSG00000117411","7316_158_S"
"ENSG00000143811","7316_158_S"
"ENSG00000197119","7316_158_S"
"ENSG00000176393","7316_158_S"
"ENSG00000134333","7316_158_S"
"ENSG00000172339","7316_158_S"
"ENSG00000174684","7316_158_S"
"ENSG00000138018","7316_158_S"
"ENSG00000244486","7316_158_S"
"ENSG00000148334","7316_158_S"
"ENSG00000147224","7316_158_S"
"ENSG00000121851 and ENSG00000090060","7316_158_S"
"ENSG00000054267","7316_158_S"
"ENSG00000136143 and ENSG00000163541","7316_158_S"
"ENSG00000197355","7316_158_S"
"ENSG00000285269","7316_158_S"
"ENSG00000093000","7316_158_S"
"ENSG00000178035","7316_158_S"
"ENSG00000123983","7316_158_S"
"ENSG00000104695 and ENSG00000105568 and ENSG00000221914","7316_158_S"
"ENSG00000005483","7316_158_S"
"ENSG00000084754","7316_158_S"
"ENSG00000084207","7316_158_S"
"ENSG00000155252","7316_158_S"
"ENSG00000178773","7316_158_S"
"ENSG00000149541","7316_158_S"
"ENSG00000197444","7316_158_S"
"ENSG00000118402","7316_158_S"
"ENSG00000164294","7316_158_S"
"ENSG00000143418","7316_158_S"
"ENSG00000168710","7316_158_S"
"ENSG00000071553","7316_158_S"
"ENSG00000159399","7316_158_S"
"ENSG00000198814","7316_158_S"
"ENSG00000124006","7316_158_S"
"ENSG00000077044","7316_158_S"
"ENSG00000143933","7316_158_S"
"ENSG00000143554","7316_158_S"
"ENSG00000166411","7316_158_S"
"ENSG00000168003","7316_158_S"
"ENSG00000131238","7316_158_S"
"ENSG00000136699","7316_158_S"
"ENSG00000115884","7316_158_S"
"ENSG00000243678","7316_158_S"
"ENSG00000149925","7316_158_S"
"ENSG00000014138 and ENSG00000101868","7316_158_S"
"ENSG00000165060","7316_158_S"
"ENSG00000163931","7316_158_S"
"ENSG00000198431","7316_158_S"
"ENSG00000105254","7316_158_S"
"ENSG00000117682","7316_158_S"
"ENSG00000168906","7316_158_S"
"ENSG00000139631","7316_158_S"
"ENSG00000143252","7316_158_S"
"ENSG00000122643","7316_158_S"
"ENSG00000095319","7316_158_S"
"ENSG00000131067","7316_158_S"
"ENSG00000198162","7316_158_S"
"ENSG00000011485","7316_158_S"
"ENSG00000099381","7316_158_S"
"ENSG00000241973","7316_158_S"
"ENSG00000226784","7316_158_S"
"ENSG00000124302","7316_158_S"
"ENSG00000167468","7316_158_S"
"ENSG00000096717","7316_158_S"
"ENSG00000072310","7316_158_S"
"ENSG00000070770 and ENSG00000101266","7316_158_S"
"ENSG00000110436","7316_158_S"
"ENSG00000014138 and ENSG00000062822 and ENSG00000077514 and ENSG00000100479 and ENSG00000101868 and ENSG00000106628 and ENSG00000115350 and ENSG00000148229 and ENSG00000175482 and ENSG00000177084","7316_158_S"
"ENSG00000126432","7316_158_S"
"ENSG00000158850","7316_158_S"
"ENSG00000167123","7316_158_S"
"ENSG00000121039","7316_158_S"
"ENSG00000120942","7316_158_S"
"ENSG00000102900","7316_158_S"
"ENSG00000184227","7316_158_S"
"ENSG00000172531","7316_158_S"
"ENSG00000176153","7316_158_S"
"ENSG00000124523","7316_158_S"
"ENSG00000132964 and ENSG00000155111","7316_158_S"
"ENSG00000009413","7316_158_S"
"ENSG00000183665","7316_158_S"
"ENSG00000108559","7316_158_S"
"ENSG00000168679","7316_158_S"
"ENSG00000060069","7316_158_S"
"ENSG00000104885","7316_158_S"
"ENSG00000123739","7316_158_S"
"ENSG00000186298","7316_158_S"
"ENSG00000111077","7316_158_S"
"ENSG00000124596","7316_158_S"
"ENSG00000099904","7316_158_S"
"ENSG00000117410","7316_158_S"
"ENSG00000132155 and ENSG00000157764","7316_158_S"
