ModelConditionID,ModelID,ParentModelConditionID,CellFormat,PassageNumber,GrowthMedia,FormulationID,PlateCoating
MC-000882-WA3V,ACH-000882,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000883-mbps,ACH-000883,,,,,,None
MC-000883-Soug,ACH-000883,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000884-qtr4,ACH-000884,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000885-Emfo,ACH-000885,,adherent,,,,None
MC-000885-jOR3,ACH-000885,,adherent,,,,None
MC-000886-8OYy,ACH-000886,,adherent,,MF-007-010,DMEM:F12 + 5% FBS + 2mM Glutamine + 5ug/ml Insulin + 10ug/ml Transferrin + 30nM Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,None
MC-000886-IdDp,ACH-000886,,adherent,,,,None
MC-000887-cOSG,ACH-000887,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000888-dlP0,ACH-000888,,adherent,,,,None
MC-000888-pj2R,ACH-000888,,adherent,,MF-007-010,DMEM:F12 + 5% FBS + 2mM Glutamine + 5ug/ml Insulin + 10ug/ml Transferrin + 30nM Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,None
MC-000889-DCaw,ACH-000889,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000890-cbjX,ACH-000890,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000890-eNBf,ACH-000890,,adherent,,,,None
MC-000891-c2CJ,ACH-000891,,monolayer,,MF-001-005,RPMI + 10% FBS + 2mM Glutamine + 25mM HEPES + 25mM Sodium bicarbonate,None
MC-000892-D2PY,ACH-000892,,adherent,,,,None
MC-000892-fqZu,ACH-000892,,adherent,,MF-001-001,RPMI + 10% FBS,None
