"id","cell"
"ENSG00000159399","ACH-000002"
"ENSG00000105647","ACH-000002"
"ENSG00000124006","ACH-000002"
"ENSG00000143933","ACH-000002"
"ENSG00000198814","ACH-000002"
"ENSG00000077044","ACH-000002"
"ENSG00000121879","ACH-000002"
"ENSG00000143554","ACH-000002"
"ENSG00000166411","ACH-000002"
"ENSG00000168003","ACH-000002"
"ENSG00000131238","ACH-000002"
"ENSG00000136699","ACH-000002"
"ENSG00000243678","ACH-000002"
"ENSG00000149925","ACH-000002"
"ENSG00000014138 and ENSG00000101868","ACH-000002"
"ENSG00000165060","ACH-000002"
"ENSG00000163931","ACH-000002"
"ENSG00000198431","ACH-000002"
"ENSG00000176383","ACH-000002"
"ENSG00000105254","ACH-000002"
"ENSG00000117682","ACH-000002"
"ENSG00000168906","ACH-000002"
"ENSG00000139631","ACH-000002"
"ENSG00000143252","ACH-000002"
"ENSG00000095319","ACH-000002"
"ENSG00000198162","ACH-000002"
"ENSG00000011485","ACH-000002"
"ENSG00000099381","ACH-000002"
"ENSG00000241973","ACH-000002"
"ENSG00000167468","ACH-000002"
"ENSG00000096717","ACH-000002"
"ENSG00000072310","ACH-000002"
"ENSG00000070770 and ENSG00000101266","ACH-000002"
"ENSG00000171608","ACH-000002"
"ENSG00000014138 and ENSG00000062822 and ENSG00000077514 and ENSG00000100479 and ENSG00000101868 and ENSG00000106628 and ENSG00000115350 and ENSG00000148229 and ENSG00000175482 and ENSG00000177084","ACH-000002"
"ENSG00000160226","ACH-000002"
"ENSG00000126432","ACH-000002"
"ENSG00000158850","ACH-000002"
"ENSG00000121039","ACH-000002"
"ENSG00000120942","ACH-000002"
"ENSG00000102900","ACH-000002"
"ENSG00000206527","ACH-000002"
"ENSG00000172531","ACH-000002"
"ENSG00000167419","ACH-000002"
"ENSG00000124523","ACH-000002"
"ENSG00000132964 and ENSG00000155111","ACH-000002"
"ENSG00000009413","ACH-000002"
"ENSG00000255072","ACH-000002"
"ENSG00000183665","ACH-000002"
"ENSG00000108559","ACH-000002"
"ENSG00000060069","ACH-000002"
"ENSG00000104885","ACH-000002"
"ENSG00000123739","ACH-000002"
"ENSG00000186298","ACH-000002"
"ENSG00000124596","ACH-000002"
"ENSG00000132155 and ENSG00000157764","ACH-000002"
"ENSG00000117410","ACH-000002"
"ENSG00000172113","ACH-000002"
"ENSG00000123684","ACH-000002"
"ENSG00000141012","ACH-000002"
"ENSG00000051341","ACH-000002"
"ENSG00000165672","ACH-000002"
"ENSG00000168000","ACH-000002"
"ENSG00000113569","ACH-000002"
"ENSG00000076201","ACH-000002"
"ENSG00000109685","ACH-000002"
"ENSG00000106462","ACH-000002"
"ENSG00000213639","ACH-000002"
"ENSG00000136720","ACH-000002"
"ENSG00000127884","ACH-000002"
"ENSG00000159593","ACH-000002"
"ENSG00000164889","ACH-000002"
"ENSG00000149016 and ENSG00000005075 and ENSG00000013503 and ENSG00000047315 and ENSG00000058600 and ENSG00000066379 and ENSG00000068654 and ENSG00000099817 and ENSG00000099821 and ENSG00000100142 and ENSG00000100413 and ENSG00000102978 and ENSG00000105258 and ENSG00000107951 and ENSG00000125630 and ENSG00000132664 and ENSG00000137054 and ENSG00000144231 and ENSG00000147669 and ENSG00000148606 and ENSG00000161980 and ENSG00000163882 and ENSG00000168002 and ENSG00000168495 and ENSG00000171453 and ENSG00000177700 and ENSG00000181222 and ENSG00000186141 and ENSG00000186184","ACH-000002"
"ENSG00000120992","ACH-000002"
"ENSG00000124789","ACH-000002"
"ENSG00000110066","ACH-000002"
"ENSG00000112367","ACH-000002"
"ENSG00000133315","ACH-000002"
"ENSG00000102030","ACH-000002"
"ENSG00000108468","ACH-000002"
"ENSG00000159720","ACH-000002"
"ENSG00000221988","ACH-000002"
"ENSG00000138031","ACH-000002"
"ENSG00000167815","ACH-000002"
"ENSG00000126883","ACH-000002"
"ENSG00000185825","ACH-000002"
"ENSG00000116539","ACH-000002"
"ENSG00000159692","ACH-000002"
"ENSG00000102312","ACH-000002"
"ENSG00000185344","ACH-000002"
"ENSG00000111445","ACH-000002"
"ENSG00000135241","ACH-000002"
"ENSG00000081721","ACH-000002"
"ENSG00000118058","ACH-000002"
"ENSG00000133835","ACH-000002"
"ENSG00000134202","ACH-000002"
"ENSG00000185883","ACH-000002"
"ENSG00000166747","ACH-000002"
"ENSG00000136243","ACH-000002"
"ENSG00000143387","ACH-000002"
"ENSG00000138750","ACH-000002"
"ENSG00000196950","ACH-000002"
"ENSG00000084112","ACH-000002"
"ENSG00000136169","ACH-000002"
"ENSG00000137770","ACH-000002"
"ENSG00000157045","ACH-000002"
"ENSG00000159899","ACH-000002"
"ENSG00000139496","ACH-000002"
"ENSG00000139718","ACH-000002"
"ENSG00000034152","ACH-000002"
"ENSG00000106636","ACH-000002"
"ENSG00000143379","ACH-000002"
"ENSG00000139505","ACH-000002"
"ENSG00000187531","ACH-000002"
"ENSG00000132382","ACH-000002"
"ENSG00000153201","ACH-000002"
"ENSG00000168765","ACH-000002"
"ENSG00000110583","ACH-000002"
"ENSG00000172543","ACH-000002"
"ENSG00000171320","ACH-000002"
"ENSG00000140521","ACH-000002"
"ENSG00000155561","ACH-000002"
"ENSG00000163002","ACH-000002"
"ENSG00000121579","ACH-000002"
"ENSG00000134910","ACH-000002"
"ENSG00000108861","ACH-000002"
"ENSG00000101224","ACH-000002"
"ENSG00000165671","ACH-000002"
