,preds,preds_raw,gene_name,cell
713,0.0,0.0093954345,ENSG00000167733,7316_158_S
716,0.0,0.017162917,ENSG00000197894,7316_158_S
721,0.0,0.0013695759,ENSG00000132196,7316_158_S
736,0.0,0.0027016453,ENSG00000100997,7316_158_S
738,0.0,0.009186118,ENSG00000011009,7316_158_S
742,0.0,0.0033134443,ENSG00000120992,7316_158_S
744,0.0,0.00093754864,ENSG00000135241,7316_158_S
747,0.0,0.013527579,ENSG00000151151,7316_158_S
748,0.0,0.036564857,ENSG00000127080,7316_158_S
749,0.0,0.01551824,ENSG00000100605,7316_158_S
751,0.0,0.001056155,ENSG00000068383,7316_158_S
752,0.0,0.0068988414,ENSG00000132376,7316_158_S
757,0.0,0.000851383,ENSG00000040933,7316_158_S
759,0.0,0.024705553,ENSG00000105655,7316_158_S
762,0.0,0.0033354785,ENSG00000145725,7316_158_S
766,1.0,0.7457964,ENSG00000007168,7316_158_S
767,0.0,0.4141062,ENSG00000143398,7316_158_S
770,0.0,0.0007456725,ENSG00000171862,7316_158_S
775,0.0,0.18338159,ENSG00000078142,7316_158_S
792,0.0,0.0061013866,ENSG00000111077,7316_158_S
794,0.0,0.0060633007,ENSG00000112367,7316_158_S
796,0.0,0.0030583371,ENSG00000125458,7316_158_S
797,0.0,0.021728955,ENSG00000126821,7316_158_S
798,0.0,0.006188909,ENSG00000137770,7316_158_S
799,0.0,0.0061101546,ENSG00000139505,7316_158_S
803,0.0,0.41410583,ENSG00000165688,7316_158_S
807,0.0,0.41410553,ENSG00000211456,7316_158_S
814,0.0,0.0010304129,ENSG00000143811,7316_158_S
818,0.0,0.0005576039,ENSG00000123739,7316_158_S
825,0.0,0.001704677,ENSG00000131979,7316_158_S
829,0.0,0.0011455542,ENSG00000143149,7316_158_S
831,0.0,0.00042424048,ENSG00000119723,7316_158_S
834,0.0,0.00088457466,ENSG00000001630,7316_158_S
840,0.0,0.0072452407,ENSG00000023330,7316_158_S
841,0.0,0.014217352,ENSG00000178773,7316_158_S
845,0.0,9.361636e-05,ENSG00000023697,7316_158_S
847,0.0,0.0010139062,ENSG00000111716,7316_158_S
848,0.0,0.00095230335,ENSG00000151116,7316_158_S
849,0.0,0.0010081154,ENSG00000093010,7316_158_S
851,0.0,0.021059351,ENSG00000110871,7316_158_S
861,0.0,0.123026624,ENSG00000074800,7316_158_S
864,0.0,0.011081066,ENSG00000070614,7316_158_S
867,0.0,0.00094684516,ENSG00000124302,7316_158_S
868,0.0,0.1112256,ENSG00000136720,7316_158_S
870,0.0,0.005140557,ENSG00000153936,7316_158_S
879,0.0,0.012198149,ENSG00000132423,7316_158_S
886,0.0,0.0029156045,ENSG00000117528,7316_158_S
890,0.0,0.11744028,ENSG00000012232,7316_158_S
891,0.0,0.11139709,ENSG00000162694,7316_158_S
892,0.0,0.03596648,ENSG00000105953,7316_158_S
894,0.0,0.0012475675,ENSG00000197444,7316_158_S
895,0.0,0.031903345,ENSG00000173085,7316_158_S
896,0.0,0.014735155,ENSG00000119537,7316_158_S
897,0.0,0.012294068,ENSG00000167186,7316_158_S
905,0.0,0.005806599,ENSG00000182199,7316_158_S
910,0.0,0.0005170023,ENSG00000092621,7316_158_S
912,0.0,0.009921199,ENSG00000135069,7316_158_S
913,0.0,0.06271252,ENSG00000111237,7316_158_S
920,0.0,0.00053931127,ENSG00000139631,7316_158_S
921,0.0,0.020886377,ENSG00000125166,7316_158_S
923,0.0,0.00488389,ENSG00000146701,7316_158_S
924,0.0,0.028624162,ENSG00000149809,7316_158_S
925,0.0,0.003870301,ENSG00000132570,7316_158_S
926,0.0,0.0005938429,ENSG00000166228,7316_158_S
938,0.0,0.040108915,ENSG00000176890,7316_158_S
940,0.0,0.0022826262,ENSG00000176974,7316_158_S
942,0.0,0.0030523895,ENSG00000109929,7316_158_S
943,0.0,0.04556885,ENSG00000128039,7316_158_S
946,0.0,0.0025165468,ENSG00000173638,7316_158_S
947,0.0,0.0033332868,ENSG00000116984,7316_158_S
948,0.0,0.00081948296,ENSG00000150540,7316_158_S
949,0.0,0.060418397,ENSG00000102172,7316_158_S
951,0.0,0.00352342,ENSG00000116649,7316_158_S
953,0.0,0.047619827,ENSG00000128059,7316_158_S
954,0.0,0.029448796,ENSG00000178921,7316_158_S
960,0.0,0.0016387796,ENSG00000277161,7316_158_S
963,0.0,0.0006031239,ENSG00000116096,7316_158_S
965,0.0,0.1137446,ENSG00000142657,7316_158_S
967,0.0,0.012719683,ENSG00000187630,7316_158_S
971,0.0,0.0047975797,ENSG00000087085,7316_158_S
972,0.0,0.0020664197,ENSG00000162066,7316_158_S
973,0.0,0.0014352936,ENSG00000068903,7316_158_S
980,0.0,0.0014782035,ENSG00000117305,7316_158_S
981,1.0,0.7946992,ENSG00000112972,7316_158_S
987,0.0,0.005095528,ENSG00000169359,7316_158_S
989,0.0,0.005795217,ENSG00000100522,7316_158_S
991,0.0,0.00045609323,ENSG00000141504,7316_158_S
993,0.0,0.059982073,ENSG00000278540,7316_158_S
994,0.0,0.058871947,ENSG00000131473,7316_158_S
997,0.0,0.088202335,ENSG00000062485,7316_158_S
999,0.0,0.022280077,ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291,7316_158_S
1004,0.0,0.037836175,ENSG00000072310,7316_158_S
1006,0.0,0.3097506,ENSG00000108468,7316_158_S
1019,0.0,0.2378195,ENSG00000198431,7316_158_S
1022,0.0,0.014017796,ENSG00000143418,7316_158_S
1025,0.0,0.0018272324,ENSG00000198931,7316_158_S
1026,0.0,0.005444377,ENSG00000174669,7316_158_S
1029,0.0,0.147043,ENSG00000101444,7316_158_S
1033,0.0,0.0010788969,ENSG00000164638,7316_158_S
1035,0.0,0.0002710794,ENSG00000156110,7316_158_S
1039,0.0,0.31525263,ENSG00000143774,7316_158_S
1041,0.0,0.018418722,ENSG00000121851 and ENSG00000090060,7316_158_S
1043,0.0,0.17674063,ENSG00000004455,7316_158_S
1044,0.0,0.34107202,ENSG00000085231,7316_158_S
1045,0.0,0.00078268326,ENSG00000106992,7316_158_S
1050,0.0,0.0688888,ENSG00000162433,7316_158_S
1052,0.0,0.0008585573,ENSG00000103024,7316_158_S
1055,0.0,0.012144743,ENSG00000172113,7316_158_S
1056,0.0,0.000881801,ENSG00000239672,7316_158_S
1057,0.0,0.11319962,ENSG00000243678,7316_158_S
1059,0.0,0.23888676,ENSG00000162368,7316_158_S
1060,0.0,0.0017986781,ENSG00000273841,7316_158_S
1061,0.0,0.16542815,ENSG00000168393,7316_158_S
1063,0.0,0.19152664,ENSG00000067225,7316_158_S
1066,1.0,0.7467303,ENSG00000048392 and ENSG00000100348 and ENSG00000167325 and ENSG00000171848,7316_158_S
1067,1.0,0.7406013,ENSG00000048392 and ENSG00000136810 and ENSG00000167325 and ENSG00000171848,7316_158_S
1068,0.0,0.19845322,ENSG00000005022,7316_158_S
1071,0.0,0.0014681714,ENSG00000159322,7316_158_S
1072,0.0,0.0009977174,ENSG00000171302,7316_158_S
1079,0.0,0.001712308,ENSG00000067057,7316_158_S
1080,0.0,0.004630907,ENSG00000125454,7316_158_S
1083,0.0,0.005242088,ENSG00000033627,7316_158_S
1085,0.0,0.042860437,ENSG00000121879 and ENSG00000145675,7316_158_S
1086,0.0,0.00086704275,ENSG00000159921,7316_158_S
1088,0.0,0.04984999,ENSG00000128050,7316_158_S
1091,0.0,0.0017935794,ENSG00000167900,7316_158_S
1096,0.0,0.0015225209,ENSG00000001084 and ENSG00000023909,7316_158_S
1101,0.0,0.00048984215,ENSG00000160209,7316_158_S
1102,0.0,0.013044256,ENSG00000135002,7316_158_S
1108,0.0,0.036466848,ENSG00000068120,7316_158_S
1109,0.0,0.038387075,ENSG00000084774,7316_158_S
1111,0.0,0.0016024733,ENSG00000114268,7316_158_S
1112,0.0,0.0037199287,ENSG00000067177 and ENSG00000102893 and ENSG00000164776,7316_158_S
1113,0.0,0.004418626,ENSG00000196511,7316_158_S
1115,0.0,0.0043964256,ENSG00000059573,7316_158_S
1116,0.0,0.0050216764,ENSG00000163541 and ENSG00000172340,7316_158_S
1117,0.0,0.019190986,ENSG00000136143 and ENSG00000163541,7316_158_S
1122,0.0,0.11470211,ENSG00000173599,7316_158_S
1135,0.0,0.0026017744,ENSG00000167123,7316_158_S
1137,0.0,0.04571492,ENSG00000183048,7316_158_S
1141,0.0,0.008974251,ENSG00000100075,7316_158_S
1146,0.0,0.038535804,ENSG00000091140 and ENSG00000105953 and ENSG00000119689,7316_158_S
1148,0.0,0.00090780825,ENSG00000103064,7316_158_S
1149,0.0,0.010688981,ENSG00000103257,7316_158_S
1150,0.0,0.01961939,ENSG00000105281,7316_158_S
1153,0.0,0.0005057467,ENSG00000131067,7316_158_S
1155,0.0,0.047677606,ENSG00000168003,7316_158_S
1156,0.0,0.00030988822,ENSG00000196517,7316_158_S
1158,0.0,0.11843667,ENSG00000092068 and ENSG00000168003,7316_158_S
1161,0.0,0.0009831173,ENSG00000111371,7316_158_S
1162,0.0,0.011419555,ENSG00000134294,7316_158_S
1164,0.0,0.03130356,ENSG00000139514,7316_158_S
1170,1.0,0.7080577,ENSG00000119523,7316_158_S
1173,0.0,0.00841946,ENSG00000117480,7316_158_S
1175,0.0,0.0013374366,ENSG00000131238,7316_158_S
1176,0.0,0.0013375412,ENSG00000221988,7316_158_S
1180,0.0,0.38998163,ENSG00000241258,7316_158_S
1185,0.0,0.03543516,ENSG00000070669,7316_158_S
1186,0.0,0.046028752,ENSG00000130707,7316_158_S
1187,0.0,0.014905096,ENSG00000091483,7316_158_S
1190,0.0,0.001366568,ENSG00000131389,7316_158_S
1191,0.0,0.08007292,ENSG00000105220,7316_158_S
1192,1.0,0.65970236,ENSG00000033011,7316_158_S
1197,0.0,0.016010154,ENSG00000116353,7316_158_S
1198,0.0,0.0019831755,ENSG00000123684,7316_158_S
1201,0.0,0.0129091665,ENSG00000146648,7316_158_S
1202,0.0,0.05632486,ENSG00000171320,7316_158_S
1207,0.0,0.00017630297,ENSG00000065989,7316_158_S
1209,0.0,0.00091084157,ENSG00000113231,7316_158_S
1210,0.0,0.00018361396,ENSG00000113448,7316_158_S
1212,0.0,0.00017512095,ENSG00000137496,7316_158_S
1215,0.0,0.0001754902,ENSG00000154678,7316_158_S
1221,0.0,0.00018055696,ENSG00000205268,7316_158_S
1223,0.0,0.073558174,ENSG00000101290,7316_158_S
1224,0.0,0.12574251,ENSG00000088766,7316_158_S
1225,0.0,0.38222447,ENSG00000087157,7316_158_S
1226,0.0,0.004309525,ENSG00000185813,7316_158_S
1229,0.0,0.0041318075,ENSG00000101558,7316_158_S
1232,0.0,0.0041375286,ENSG00000148154,7316_158_S
1246,0.0,0.00030864013,ENSG00000113504,7316_158_S
1254,0.0,0.00046680556,ENSG00000008300,7316_158_S
1256,0.0,0.0004670604,ENSG00000164889,7316_158_S
1257,0.0,0.09978293,ENSG00000084090,7316_158_S
1266,0.0,8.630997e-05,ENSG00000073060,7316_158_S
1267,0.0,0.0048780907,ENSG00000110721,7316_158_S
1269,0.0,0.0011607037,ENSG00000129353,7316_158_S
1271,0.0,0.014809257,ENSG00000143036,7316_158_S
1273,0.0,0.022946438,ENSG00000156471,7316_158_S
1284,0.0,0.00012810563,ENSG00000113273,7316_158_S
1292,0.0,0.0004186378,ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386,7316_158_S
1294,0.0,0.00054012897,ENSG00000141012,7316_158_S
1296,0.0,0.022272678,ENSG00000130164,7316_158_S
1297,0.0,0.07727434,ENSG00000100412,7316_158_S
1299,0.0,0.027111845,ENSG00000136381,7316_158_S
1300,0.0,0.0003406834,ENSG00000111726,7316_158_S
1302,0.0,0.0060260887,ENSG00000008513,7316_158_S
1310,0.0,0.00039403734,ENSG00000164414,7316_158_S
1316,0.0,0.060723968,ENSG00000126088,7316_158_S
1317,0.0,0.024423953,ENSG00000080819,7316_158_S
1319,0.0,0.0012414699,ENSG00000117411,7316_158_S
1320,0.0,0.0010048379,ENSG00000158470,7316_158_S
1321,0.0,0.007596064,ENSG00000158850,7316_158_S
1327,0.0,0.11297744,ENSG00000141279,7316_158_S
1330,0.0,0.044256397,ENSG00000103257 and ENSG00000168003,7316_158_S
1333,0.0,0.04775264,ENSG00000151012 and ENSG00000168003,7316_158_S
1334,0.0,0.00051107444,ENSG00000184470,7316_158_S
1336,0.0,0.0008641103,ENSG00000143179,7316_158_S
1340,1.0,0.6942744,ENSG00000162408,7316_158_S
