,preds,preds_raw,gene_name,cell
908,1.0,0.5857283,ENSG00000088766,ACH-000002
909,1.0,0.8564532,ENSG00000087157,ACH-000002
910,0.0,0.09000906,ENSG00000185813,ACH-000002
911,0.0,0.04791012,ENSG00000148154,ACH-000002
912,0.0,0.11145759,ENSG00000101558,ACH-000002
921,0.0,0.0036996664,ENSG00000113504,ACH-000002
925,0.0,0.0053722984,ENSG00000164889,ACH-000002
928,0.0,0.38680038,ENSG00000084090,ACH-000002
931,0.0,0.0025322975,ENSG00000073060,ACH-000002
932,0.0,0.39807013,ENSG00000110721,ACH-000002
934,0.0,0.012741079,ENSG00000129353,ACH-000002
937,0.0,0.043288615,ENSG00000156471,ACH-000002
945,0.0,0.0018937468,ENSG00000113273,ACH-000002
951,0.0,0.0028275333,ENSG00000064601 and ENSG00000141012 and ENSG00000170266 and ENSG00000204386,ACH-000002
952,0.0,0.0027256955,ENSG00000141012,ACH-000002
954,0.0,0.1764654,ENSG00000130164,ACH-000002
955,1.0,0.6006191,ENSG00000100412,ACH-000002
956,0.0,0.27514523,ENSG00000136381,ACH-000002
957,0.0,0.056685943,ENSG00000111726,ACH-000002
959,0.0,0.055770785,ENSG00000008513,ACH-000002
964,0.0,0.05757229,ENSG00000164414,ACH-000002
968,1.0,0.6465359,ENSG00000126088,ACH-000002
969,0.0,0.11631647,ENSG00000080819,ACH-000002
971,0.0,0.010593739,ENSG00000117411,ACH-000002
972,0.0,0.010104657,ENSG00000158470,ACH-000002
973,0.0,0.052161135,ENSG00000158850,ACH-000002
978,0.0,0.43821162,ENSG00000141279,ACH-000002
982,1.0,0.98825955,ENSG00000110619,ACH-000002
983,1.0,0.5653893,ENSG00000103257 and ENSG00000168003,ACH-000002
986,0.0,0.0048118965,ENSG00000184470,ACH-000002
987,0.0,0.44370374,ENSG00000151012 and ENSG00000168003,ACH-000002
991,1.0,0.890948,ENSG00000162408,ACH-000002
992,0.0,0.03937187,ENSG00000143179,ACH-000002
995,0.0,0.013936642,ENSG00000122643,ACH-000002
997,0.0,0.2540094,ENSG00000115350 and ENSG00000148229,ACH-000002
998,1.0,0.98029214,ENSG00000062822 and ENSG00000077514 and ENSG00000106628 and ENSG00000175482,ACH-000002
999,1.0,0.98276204,ENSG00000014138 and ENSG00000101868,ACH-000002
1000,1.0,0.9767569,ENSG00000014138 and ENSG00000062822 and ENSG00000077514 and ENSG00000100479 and ENSG00000101868 and ENSG00000106628 and ENSG00000115350 and ENSG00000148229 and ENSG00000175482 and ENSG00000177084,ACH-000002
1001,0.0,0.48475015,ENSG00000009413,ACH-000002
1002,0.0,0.23266801,ENSG00000051341,ACH-000002
1005,1.0,0.9903261,ENSG00000111445,ACH-000002
1009,1.0,0.8241315,ENSG00000132382,ACH-000002
1010,0.0,0.25770223,ENSG00000140521,ACH-000002
1013,0.0,0.2577545,ENSG00000256525,ACH-000002
1014,0.0,0.00748199,ENSG00000156515,ACH-000002
1015,0.0,0.27099377,ENSG00000159399,ACH-000002
1019,1.0,0.8236039,ENSG00000113456 and ENSG00000172613,ACH-000002
1020,0.0,0.032280996,ENSG00000172890,ACH-000002
1021,0.0,0.42528108,ENSG00000173614,ACH-000002
1030,0.0,0.028519392,ENSG00000027847,ACH-000002
1031,0.0,0.022411909,ENSG00000060642,ACH-000002
1032,0.0,0.08964379,ENSG00000069943,ACH-000002
1037,0.0,0.09794362,ENSG00000134910,ACH-000002
1040,1.0,0.96770257,ENSG00000147162,ACH-000002
1045,0.0,0.058341254,ENSG00000163527,ACH-000002
1046,0.0,0.05107934,ENSG00000170340,ACH-000002
1049,0.0,0.012530003,ENSG00000176383,ACH-000002
1056,0.0,0.13178831,ENSG00000100299,ACH-000002
1060,1.0,0.9223549,ENSG00000111669,ACH-000002
1064,1.0,0.6208822,ENSG00000228716,ACH-000002
1065,1.0,0.6369424,ENSG00000119689,ACH-000002
1066,1.0,0.5955652,ENSG00000152904,ACH-000002
1067,1.0,0.591473,ENSG00000160752,ACH-000002
1068,0.0,0.064141884,ENSG00000067064,ACH-000002
1072,1.0,0.98950875,ENSG00000030066 and ENSG00000047410 and ENSG00000058804 and ENSG00000069248 and ENSG00000075188 and ENSG00000085415 and ENSG00000093000 and ENSG00000094914 and ENSG00000095319 and ENSG00000101146 and ENSG00000102900 and ENSG00000108559 and ENSG00000110713 and ENSG00000111581 and ENSG00000113569 and ENSG00000119392 and ENSG00000120253 and ENSG00000124789 and ENSG00000125450 and ENSG00000126883 and ENSG00000132182 and ENSG00000136243 and ENSG00000138750 and ENSG00000139496 and ENSG00000153201 and ENSG00000153207 and ENSG00000155561 and ENSG00000157020 and ENSG00000157349 and ENSG00000163002 and ENSG00000196313 and ENSG00000213024,ACH-000002
1075,1.0,0.62396914,ENSG00000088305 and ENSG00000130816,ACH-000002
1077,0.0,0.15421252,ENSG00000120697,ACH-000002
1078,0.0,0.15382539,ENSG00000159063,ACH-000002
1079,0.0,0.21331099,ENSG00000175548,ACH-000002
1080,0.0,0.15241092,ENSG00000088035,ACH-000002
